identity,labels,storage_type,processor_type,unique_id,memory,gpu_type,memory_type,storage,processor,gpu,available_processor,available_storage,name,available_region,available_memory,available_gpu,elementId
0,Node,Hybrid Drive,AMD Ryzen Threadripper,6939ac93-6378-46f7-8280-240b5ffe453f,12,NVIDIA GeForce RTX,DDR4,24,10,10,2,4.8,SuperServer 10210U Rack Server,china,2.4,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:0
1,Node,Fusion Drive,AMD Ryzen,54b0bef9-26ce-4bb7-aa20-604e4be45a17,16,AMD Radeon RX,DDR5,48,14,14,3.5,12,ProLiant DL380 Gen10 Rack Server,china,4,3.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:1
2,Node,SSD,Intel Xeon,07735898-8a11-43d6-9c3b-71d3b091d1c2,1,NVIDIA GeForce,DDR4,1,1,1,0.5,0.5,PowerEdge R660 Rack Server,china,0.5,0.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:2
3,Node,NAS Storage,Intel Xeon,7be93911-38b6-4f75-b72c-a4340eb9ad61,30,AMD Radeon VII,DDR4,4096,28,48,14,2048,ThinkSystem SR530 Rack Server,china,15,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:3
4,Node,SSD,Intel Xeon,df1b488b-5654-48d7-98cd-dffcf900d4cb,1,NVIDIA GeForce,DDR4,1,1,1,1,1,PowerEdge R660 Rack Server,china,1,1,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:4
5,Node,USB Flash Drive,Intel Core i9,33b72f88-7cfa-479c-89b4-0f7eb2a4917e,22,NVIDIA GeForce GTX,DDR3,256,20,20,4,51.2,Precision 7920 Tower Workstation,china,4.4,4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:5
6,Node,Flash Memory,Intel Core i5,00369cd6-2b57-4e1e-bed9-560269684f66,14,NVIDIA Quadro RTX,DDR3,32,12,12,12,32,PowerEdge R640 Rack Server,china,14,12,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:6
7,Node,Fusion Drive,AMD Ryzen,ec91e8cd-5e82-4585-a91b-edfd2c69d187,16,AMD Radeon RX,DDR5,48,14,14,4.666666666666667,16,ProLiant DL380 Gen10 Rack Server,china,5.333333333333333,4.666666666666667,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:7
8,Node,SATA HDD,Intel Core i7,10188225-9857-43ae-a9c8-552abbf2534e,26,AMD Radeon Pro WX,DDR7,1024,24,24,24,1024,PowerEdge R740 Rack Server,china,26,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:8
9,Node,SATA SSD,Intel Core i7,8c48315f-0bd7-437f-ab37-2caba951a500,10,AMD Radeon,DDR7,16,8,8,1.6,3.2,Precision 7920 Rack Workstation,china,2,1.6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:9
10,Node,SATA HDD,Intel Core i7,d51d760b-5bba-46ef-8e35-a98f9ff3dd20,26,AMD Radeon Pro WX,DDR7,1024,24,24,24,1024,PowerEdge R740 Rack Server,china,26,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:10
11,Node,Cloud Storage,AMD EPYC,53b183d6-5094-472b-b805-9688ac7d21cb,20,AMD Radeon Pro WX,DDR4,128,18,18,9,64,PrimeServer Pro Rack III Rack Server,china,10,9,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:11
12,Node,HDD,AMD Ryzen,977a6031-1b80-435b-9b90-765e3a267ec0,2,NVIDIA Quadro,DDR3,2,2,2,0.6666666666666666,0.6666666666666666,ProLiant DL360 Gen10 Rack Server,china,0.6666666666666666,0.6666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:12
13,Node,Cloud Storage,AMD EPYC,a88b8df8-c450-465c-bc0d-cea8c73a6f46,20,AMD Radeon Pro WX,DDR4,128,18,18,9,64,PrimeServer Pro Rack III Rack Server,china,10,9,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:13
14,Node,Hybrid Drive,AMD Ryzen Threadripper,33d89c2b-637b-47b9-8dc6-843ff98e8a1d,12,NVIDIA GeForce RTX,DDR4,24,10,10,3.3333333333333335,8,SuperServer 10210U Rack Server,china,4,3.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:14
15,Node,SATA SSD,Intel Core i7,d5642927-b209-4436-a6d8-46e97bc58585,10,AMD Radeon,DDR7,16,8,8,8,16,Precision 7920 Rack Workstation,china,10,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:15
16,Node,Fusion Drive,AMD Ryzen,1893e9fd-8156-482b-b285-3e07b5f596cc,16,AMD Radeon RX,DDR5,48,14,14,2.3333333333333335,8,ProLiant DL380 Gen10 Rack Server,china,2.6666666666666665,2.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:16
17,Node,Fusion Drive,AMD Ryzen,bb981de5-c3dd-481d-b66f-3cd237f328b4,16,AMD Radeon RX,DDR5,48,14,14,14,48,ProLiant DL380 Gen10 Rack Server,china,16,14,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:17
18,Node,Cloud Storage,AMD EPYC,fd0ee5ca-649b-4f34-949f-c7c6f0df78b2,20,AMD Radeon Pro WX,DDR4,128,18,18,3.6,25.6,PrimeServer Pro Rack III Rack Server,china,4,3.6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:18
